#name	ftp_path	organism	assembly_level
M_tub_variant_bovis_BCG_Pasteur_1173P2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/445/GCF_000009445.1_ASM944v1	Mycobacterium tuberculosis	Complete Genome
M_tub_variant_bovis_BCG_Phipps	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/235/GCF_000463235.1_BCG_Phipps	Mycobacterium tuberculosis	Contig
M_tub_variant_bovis_BCG_Prague	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/255/GCF_000463255.1_BCG_Prague	Mycobacterium tuberculosis	Contig
M_tub_variant_bovis_BCG_Sweden	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/275/GCF_000463275.1_BCG_Sweden	Mycobacterium tuberculosis	Contig
M_tub_variant_bovis_BCG_Tokyo_172	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/685/GCF_000010685.1_ASM1068v1	Mycobacterium tuberculosis	Complete Genome
M_tub_variant_bovis_Bz_31150	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/649/655/GCF_000649655.1_Myco_bovi_Bz_31150_V1	Mycobacterium tuberculosis	Scaffold
M_tub_variant_bovis_MAL010093	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/666/385/GCF_000666385.1_Myco_bovi_MAL010093_V1	Mycobacterium tuberculosis	Scaffold
M_tub_variant_caprae	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/665/GCF_001941665.1_ASM194166v1	Mycobacterium tuberculosis	Chromosome
M_tub_variant_microti	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/982/215/GCF_002982215.1_ASM298221v1	Mycobacterium tuberculosis	Scaffold
M_tub_variant_microti_OV254	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/865/895/GCA_002865895.1_ASM286589v1	Mycobacterium tuberculosis	Contig
M_tub_variant_pinnipedii	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/982/275/GCF_002982275.1_ASM298227v1	Mycobacterium tuberculosis	Scaffold
M_tub_1821ADB35	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/465/GCF_001997465.1_ASM199746v1	Mycobacterium tuberculosis	Chromosome
M_tub_1821ADB36	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/495/GCF_001997495.1_ASM199749v1	Mycobacterium tuberculosis	Chromosome
M_tub_1821ADB37	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/525/GCF_001997525.1_ASM199752v1	Mycobacterium tuberculosis	Chromosome
M_tub_1821ADB38	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/545/GCF_001997545.1_ASM199754v1	Mycobacterium tuberculosis	Chromosome
M_tub_1821ADB40	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/565/GCF_001997565.1_ASM199756v1	Mycobacterium tuberculosis	Chromosome
M_tub_1821ADB41	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/585/GCF_001997585.1_ASM199758v1	Mycobacterium tuberculosis	Chromosome
M_tub_1821ADB42	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/605/GCF_001997605.1_ASM199760v1	Mycobacterium tuberculosis	Chromosome
M_tub_1821ADB44	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/625/GCF_001997625.1_ASM199762v1	Mycobacterium tuberculosis	Chromosome
M_tub_1821ADB45	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/665/GCF_001997665.1_ASM199766v1	Mycobacterium tuberculosis	Chromosome
M_tub_18b	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/835/125/GCF_000835125.1_ASM83512v1	Mycobacterium tuberculosis	Chromosome
M_tub_49_02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/786/505/GCF_000786505.1_MT49-02	Mycobacterium tuberculosis	Complete Genome
M_tub_7199_99	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/331/445/GCF_000331445.1_ASM33144v1	Mycobacterium tuberculosis	Complete Genome
M_tub_Beijing_NITR203	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/825/GCF_000364825.1_ASM36482v1	Mycobacterium tuberculosis	Complete Genome
M_tub_BT1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/572/175/GCF_000572175.1_ASM57217v1	Mycobacterium tuberculosis	Complete Genome
M_tub_BT2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/572/155/GCF_000572155.1_ASM57215v1	Mycobacterium tuberculosis	Complete Genome
M_tub_BTB05_552	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/435/GCF_000220435.1_ASM22043v1	Mycobacterium tuberculosis	Chromosome
M_tub_BTB05_559	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/455/GCF_000220455.1_ASM22045v1	Mycobacterium tuberculosis	Chromosome
M_tub_CAS_NITR204	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/389/925/GCA_000389925.1_ASM38992v1	Mycobacterium tuberculosis	Complete Genome
M_tub_CCDC5079	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/400/615/GCF_000400615.1_ASM40061v1	Mycobacterium tuberculosis	Complete Genome
M_tub_CCDC5180	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/365/GCF_000270365.1_ASM27036v1	Mycobacterium tuberculosis	Complete Genome
M_tub_CDC1551	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/585/GCF_000008585.1_ASM858v1	Mycobacterium tuberculosis	Complete Genome
M_tub_CTRI_2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/435/GCF_000224435.1_ASM22443v1	Mycobacterium tuberculosis	Complete Genome
M_tub_EAI5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/422/125/GCF_000422125.1_ASM42212v1	Mycobacterium tuberculosis	Complete Genome
M_tub_EAI5_NITR206	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/389/945/GCF_000389945.1_ASM38994v1	Mycobacterium tuberculosis	Complete Genome
M_tub_Erdman_ATCC_35801	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/350/205/GCF_000350205.1_ASM35020v1	Mycobacterium tuberculosis	Complete Genome
M_tub_F11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/925/GCF_000016925.1_ASM1692v1	Mycobacterium tuberculosis	Complete Genome
M_tub_H37Ra	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/145/GCF_000016145.1_ASM1614v1	Mycobacterium tuberculosis	Complete Genome
M_tub_H37Rv	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/955/GCF_000195955.2_ASM19595v2	Mycobacterium tuberculosis	Complete Genome
M_tub_H37RvAE	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/805/GCF_000746805.1_H37RvAE4	Mycobacterium tuberculosis	Chromosome
M_tub_H37RvCO	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/263/135/GCF_000263135.1_H37RvCO4	Mycobacterium tuberculosis	Chromosome
M_tub_H37RvLP	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/751/475/GCF_000751475.1_H37RvLPb	Mycobacterium tuberculosis	Chromosome
M_tub_H37RvMA	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/751/615/GCF_000751615.1_H37RvMA2	Mycobacterium tuberculosis	Chromosome
M_tub_H37RvSiena	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/827/085/GCF_000827085.1_ASM82708v1	Mycobacterium tuberculosis	Complete Genome
M_tub_Haarlem	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/685/GCF_000153685.2_ASM15368v2	Mycobacterium tuberculosis	Complete Genome
M_tub_Haarlem_NITR202	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/389/905/GCA_000389905.1_ASM38990v1	Mycobacterium tuberculosis	Complete Genome
M_tub_HKBS1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/572/125/GCF_000572125.1_ASM57212v1	Mycobacterium tuberculosis	Complete Genome
M_tub_HN878	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/005/GCF_000184005.1_ASM18400v1	Mycobacterium tuberculosis	Chromosome
M_tub_K	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/475/GCF_000698475.1_ASM69847v1	Mycobacterium tuberculosis	Complete Genome
M_tub_Kurono	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/995/GCF_000828995.1_ASM82899v1	Mycobacterium tuberculosis	Complete Genome
M_tub_KZN_1435	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/625/GCF_000023625.1_ASM2362v1	Mycobacterium tuberculosis	Complete Genome
M_tub_KZN_4207	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/585/GCF_000154585.2_ASM15458v2	Mycobacterium tuberculosis	Complete Genome
M_tub_KZN_605	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/605/GCF_000154605.2_ASM15460v2	Mycobacterium tuberculosis	Complete Genome
M_tub_KZN_R506	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/015/GCF_000163015.1_ASM16301v1	Mycobacterium tuberculosis	Chromosome
M_tub_KZN_V2475	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/995/GCF_000162995.1_ASM16299v1	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0201	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/945/GCF_000442945.1_fedora0201c_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0202	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/417/925/GCF_000417925.1_fedora0202c	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0203	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/305/GCF_000443305.1_fedora0203c_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0205	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/325/GCF_000443325.1_fedora0205e_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0206	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/345/GCF_000443345.1_fedora0206b_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0207	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/425/GCF_000443425.1_fedora0207g_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0208	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/365/GCF_000443365.1_fedora0208e_IS	Mycobacterium tuberculosis	Chromosome
